              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     330.773     -29.995     -74.110      19.215
     339.884     -30.286     -74.023      19.212
     348.986     -30.584     -73.937      19.208
     -78.621      -8.898     -78.005      19.405
     -69.517      -9.139     -77.919      19.403
     -60.412      -9.387     -77.832      19.402
     -51.308      -9.641     -77.745      19.401
     -42.203      -9.890     -77.659      19.399
     -33.098     -10.135     -77.572      19.398
     -23.993     -10.386     -77.485      19.396
     -14.888     -10.643     -77.398      19.395
      -5.783     -10.895     -77.312      19.393
       3.323     -11.142     -77.225      19.392
      12.429     -11.396     -77.138      19.390
      21.535     -11.656     -77.052      19.388
      30.641     -11.911     -76.965      19.386
      39.747     -12.172     -76.878      19.384
      48.854     -12.429     -76.791      19.382
      57.960     -12.692     -76.705      19.381
      67.057     -12.950     -76.618      19.378
      76.164     -13.214     -76.532      19.376
      85.271     -13.474     -76.445      19.374
      94.379     -13.739     -76.358      19.372
     103.477     -14.000     -76.271      19.370
     112.585     -14.268     -76.185      19.368
     121.694     -14.530     -76.098      19.365
     130.792     -14.799     -76.011      19.363
     139.901     -15.074     -75.925      19.360
     148.999     -15.344     -75.838      19.358
     158.109     -15.609     -75.752      19.355
     167.209     -15.881     -75.665      19.353
     176.319     -16.159     -75.578      19.350
     185.419     -16.432     -75.492      19.347
     194.520     -16.700     -75.405      19.345
     203.631     -16.986     -75.318      19.342
     212.732     -17.256     -75.232      19.339
     221.833     -17.532     -75.145      19.336
     230.935     -17.814     -75.059      19.333
     240.037     -18.092     -74.972      19.330
     249.140     -18.376     -74.885      19.327
     258.253     -18.655     -74.799      19.324
     267.346     -18.940     -74.712      19.321
     276.449     -19.221     -74.626      19.317
     285.553     -19.507     -74.539      19.314
     294.658     -19.800     -74.452      19.311
     303.763     -20.089     -74.366      19.307
     312.868     -20.372     -74.279      19.304
     321.974     -20.662     -74.192      19.301
     331.068     -20.947     -74.106      19.297
     340.175     -21.238     -74.019      19.293
     349.282     -21.536     -73.933      19.290
