THIS FILE CREATED 13:05:27 31-Mar-9
90010800 192  84  55  15 100.0
  60  34   3   4
 .0500
 .1500
 .2500
 .3500
 .4500
 .5500
 .6500
 .7400
 .8100
 .8650
 .9100
 .9450
 .9700
 .9850
 .9950
 4000 07004 37159 26586
 3000 08943 48166 26609
 9571 00458 02353 22011
 9485 00529 02751 22514
 9356 00638 03346 23519
 9140 00822 03543 25024
 8839 01087 04527 26529
 8451 01439 05556 27533
 7978 01891 06955 27537
 7375 02503 07927 27544
 6599 03360 11742 27551
 5738 04417 18959 27059
 4876 05607 27560 27069
 4015 06978 36959 26586
 3154 08613 46966 26607
 2292 10692 54170 26622
 1431 13707 55167 26599
90010800 61 35 1014.3 0.00 0
 9837 00242 04131 21510
10000 00112 03337 00000
 9250 00729 03156 25023
 8500 01396 05158 27030
 7000 02910 09332 27046
 5000 05436 25557 27064
 4000 07017 36557 26583
 3000 08957 48164 26605
 9793 00277 03935 21510
 9704 00349 03146 22012
 9572 00458 02556 22516
 9351 00643 02756 24022
 9042 00909 03750 26526
 8644 01264 04758 27029
 8158 01718 06157 27533
 7539 02334 07335 27540
 6744 03197 10531 27048
 5860 04265 17152 26555
 4977 05470 25957 27064
 4093 06858 35557 26581
 3209 08511 46564 26601
 2326 10612 54368 26623
 1442 13667 55367 26599
90010800 62 35 1014.6 0.00 0
10146 00000 00850 22512
10000 00116 00542 22513
 9250 00735 03946 26024
 8500 01401 04959 27029
 7000 02916 08933 27045
 5000 05446 25149 26561
 4000 07031 36156 26579
 3000 08971 48162 26602
10101 00036 00447 22512
10009 00109 00543 22513
 9872 00219 01534 22513
 9643 00405 02934 23519
 9323 00672 03941 25524
 8912 01029 03957 27026
 8409 01486 05359 27030
 7768 02106 06747 27037
 6945 02977 08932 27046
 6031 04057 15335 26550
 5116 05279 23951 26559
 4201 06688 33756 26575
 3287 08367 45562 26594
 2372 10498 54367 27123
 1457 13610 55567 27097
90010800 60 36 1012.9 0.00 1
 9502 00506 04539 22011
10000 00102 01956 00000
 9250 00718 05134 23018
 8500 01381 06525 26533
 7000 02885 11320 27548
 5000 05391 27360 27070
 4000 06962 38159 26593
 3000 08894 48567 26611
 9460 00541 04540 22011
 9375 00613 04541 22514
 9247 00720 05134 23018
 9035 00903 05726 24524
 8737 01165 05911 26030
 8354 01515 06934 27035
 7887 01964 08330 27039
 7292 02571 09713 27545
 6526 03420 13937 27052
 5676 04466 20759 27061
 4826 05645 29161 27073
 3976 07004 38359 26593
 3126 08624 47766 26611
 2275 10690 54170 26615
 1425 13686 54767 26599
90010800 61 36 1013.8 0.00 1
 9677 00366 05540 21509
10000 00108 03952 00000
 9250 00721 04949 24021
 8500 01384 06150 27031
 7000 02891 10919 27046
 5000 05404 26559 26569
 4000 06979 37559 26591
 3000 08911 48965 26607
 9634 00401 05738 21509
 9547 00472 06137 22011
 9417 00580 04353 23018
 9200 00763 04948 24523
 8897 01027 05336 26028
 8506 01379 06150 27031
 8029 01829 07746 27035
 7421 02440 08916 27042
 6640 03295 12522 27049
 5773 04350 19156 26558
 4905 05542 27560 26571
 4037 06915 37159 26590
 3169 08550 47765 26605
 2302 10630 54570 26616
 1434 13657 54967 27099
90010800 62 36 1013.8 0.00 1
 9957 00142 04531 22010
10000 00108 04332 00000
 9250 00723 04354 25024
 8500 01388 06157 26530
 7000 02896 10321 27045
 5000 05416 25757 26567
 4000 06996 36958 26087
 3000 08929 48963 26603
 9912 00178 04333 22010
 9822 00249 03944 22012
 9688 00358 03148 22517
 9464 00543 03748 23522
 9151 00808 04556 25526
 8748 01163 05357 26528
 8255 01616 06756 26532
 7628 02231 08126 27038
 6822 03094 10920 27047
 5926 04163 17136 26554
 5031 05372 25557 26567
 4135 06765 35358 26085
 3239 08423 47163 26099
 2344 10530 54769 26617
 1448 13608 54967 27098
90010800 60 37 1012.2 0.00 1
 9537 00470 05341 22010
10000 00096 02956 00000
 9250 00708 06927 23518
 8500 01368 07709 26534
 7000 02865 12911 27047
 5000 05356 28559 26570
 4000 06919 39160 26094
 3000 08845 49168 26610
 9494 00505 05739 22010
 9409 00576 06135 22513
 9281 00683 06928 23017
 9067 00864 06720 24523
 8768 01126 07104 26031
 8384 01475 08112 26536
 7915 01921 09510 27039
 7317 02526 11104 27044
 6549 03371 15327 27051
 5695 04412 22158 27060
 4841 05586 30161 26572
 3988 06940 39360 26094
 3134 08558 48368 26110
 2280 10625 53969 26608
 1427 13631 54567 27098
90010800 61 37 1013.1 0.00 1
 9605 00416 07925 21509
10000 00102 05940 00000
 9250 00710 06544 23520
 8500 01370 07521 26532
 7000 02869 12109 27045
 5000 05369 27759 26571
 4000 06938 38560 26095
 3000 08864 49566 26109
 9562 00451 07927 21509
 9476 00522 07735 22011
 9347 00628 06546 23018
 9132 00810 06542 24523
 8831 01072 06725 26029
 8444 01422 07721 27032
