SURF.DAT        2.1             Hour Start and End Times with Seconds                           
   1
Produced by SMERGE Version: 5.651  Level: 080407                                
NONE    
UTC-0500
  1990   8   0     0  1990  15   0     0    5
   14606
   14611
   14745
   14742
   14764
    4.116  160.000  120   10  278.706   55  998.649    0
    6.688  170.000  120   10  278.150   58  996.279    0
    5.700  200.000  149    8  276.450   76 1010.000    0
1990   9  16    0   1990   9  17    0
    3.087  180.000   12    9  275.928   73 1005.083    0
    3.087  200.000   80 9999  276.483   82 1009.147    0
    4.116  160.000  120   10  278.150   60  997.972    0
    5.659  160.000  120   10  278.150   58  995.940    0
    4.100  190.000  109   10  275.950   79 1010.000    0
1990   9  17    0   1990   9  18    0
    3.601  160.000   12    6  275.928   82 1005.083    0
    1.543  170.000   80 9999  275.928   96 1008.470    0
    4.116  160.000  200   10  277.039   65  997.972    0
    5.144  170.000  120   10  277.594   60  995.940    0
    4.100  170.000  109   10  275.950   82 1010.000    0
1990   9  18    0   1990   9  19    0
    3.601  170.000   11    9  275.372   93 1005.083    0
    2.058  180.000   80 9999  277.039   93 1008.470    0
    3.601  160.000  200    7  275.928   73  997.633    0
    5.144  150.000  120   10  277.594   60  995.940    0
    5.200  170.000  109   10  276.450   79 1010.000    0
1990   9  19    0   1990   9  20    0
    3.601  180.000   10   10  275.928   82 1004.745    0
    3.087  210.000   80 9999  277.039   96 1008.470    0
    3.087  160.000  999    5  275.372   79  997.633    0
    5.659  150.000  120   10  277.594   62  995.602    0
    5.200  180.000  109   10  276.450   73 1009.000    0
1990   9  20    0   1990   9  21    0
    4.116  170.000   15   10  275.928   82 1004.068    0
    4.116  210.000   80 9999  277.039   93 1007.793    0
    3.087  140.000  140    5  275.372   79  997.295    0
    5.144  170.000  120   10  277.594   65  995.263    0
    4.600  200.000  149    7  275.950   82 1009.000    0
1990   9  21    0   1990   9  22    0
    3.087  190.000   15   10  275.928   93 1003.729    1
    5.144  200.000   80 9999  276.483   86 1007.454    0
    1.543  180.000  999    2  273.706   89  997.972    0
    5.659  160.000  120   10  277.594   65  994.586    0
    4.600  190.000  149    8  275.950   82 1009.000    0
1990   9  22    0   1990   9  23    0
    2.572  170.000   11   10  275.928   93 1003.052    0
    5.144  200.000  999 9999  275.928   86 1006.777    0
    0.000    0.000  120    9  273.150   92  996.956    0
    6.688  150.000  120   10  277.039   67  993.908    0
    3.600  200.000  999    0  274.850   85 1009.000    0
1990   9  23    0   1990   9  24    0
    2.572  170.000   10   10  275.928   93 1002.374    0
    5.144  200.000   80 9999  275.372   93 1006.438    0
    2.572  170.000   46   10  273.706   89  996.617    0
    4.116  170.000  120   10  275.928   73  992.892    0
    3.100  190.000  149    6  274.250   82 1008.000    0
1990  10   0    0   1990  10   1    0
    4.116  170.000   11   10  275.928   93 1001.697    0
    5.144  200.000  999 9999  275.372   93 1005.761    0
    3.087  160.000  999    4  273.706   89  995.602    0
    4.630  160.000  999    4  275.928   70  992.554    0
    3.600  200.000  999    1  274.850   79 1007.000    0
1990  10   1    0   1990  10   2    0
    4.116  180.000   15    9  275.928   93 1001.697    0
    4.630  190.000  999 9999  275.372   93 1005.083    0
    2.058  160.000   13   10  274.261   89  994.924    0
    5.144  160.000  999    4  276.483   70  991.876    0
    2.100  200.000  999    1  274.250   92 1006.000    0
1990  10   2    0   1990  10   3    0
    3.087  180.000   15    9  275.372   93 1000.681    0
    4.116  190.000   15 9999  273.150   92 1004.406    0
    2.058  120.000   11   10  274.261   92  993.908    0
    4.630  160.000  999    4  276.483   73  991.199    0
    3.600  180.000   17   10  275.950   82 1006.000    0
1990  10   3    0   1990  10   4    0
    4.116  180.000    7   10  275.372   93 1000.004    0
    5.144  180.000   12 9999  276.483   93 1003.052    0
