"Xkm" "Ykm" "Elev"
 342.500000 4864.50000 154.600006
 343.500000 4864.50000 164.500000
 344.500000 4864.50000 155.100006
 345.500000 4864.50000 154.000000
 346.500000 4864.50000 154.000000
 347.500000 4864.50000 154.000000
 348.500000 4864.50000 154.000000
 349.500000 4864.50000 154.000000
 350.500000 4864.50000 156.000000
 351.500000 4864.50000 170.600006
 352.500000 4864.50000 182.399994
 353.500000 4864.50000 185.899994
 354.500000 4864.50000 217.800003
 355.500000 4864.50000 205.699997
 356.500000 4864.50000 238.600006
 357.500000 4864.50000 289.000000
 338.500000 4865.50000 184.600006
 339.500000 4865.50000 157.199997
 340.500000 4865.50000 154.000000
 341.500000 4865.50000 154.800003
 342.500000 4865.50000 169.300003
 343.500000 4865.50000 161.000000
 344.500000 4865.50000 154.000000
 345.500000 4865.50000 154.000000
 346.500000 4865.50000 154.100006
 347.500000 4865.50000 154.100006
 348.500000 4865.50000 154.100006
 349.500000 4865.50000 155.899994
 350.500000 4865.50000 170.600006
 351.500000 4865.50000 196.399994
 352.500000 4865.50000 183.500000
 353.500000 4865.50000 182.000000
 354.500000 4865.50000 191.699997
 355.500000 4865.50000 204.300003
 356.500000 4865.50000 249.600006
 357.500000 4865.50000 290.500000
 338.500000 4866.50000 155.199997
 339.500000 4866.50000 154.000000
 340.500000 4866.50000 154.000000
 341.500000 4866.50000 154.000000
 342.500000 4866.50000 154.000000
 343.500000 4866.50000 154.000000
 344.500000 4866.50000 154.500000
 345.500000 4866.50000 160.699997
 346.500000 4866.50000 165.000000
 347.500000 4866.50000 166.000000
 348.500000 4866.50000 160.000000
 349.500000 4866.50000 155.800003
 350.500000 4866.50000 173.300003
 351.500000 4866.50000 187.800003
 352.500000 4866.50000 176.000000
 353.500000 4866.50000 171.100006
 354.500000 4866.50000 171.100006
 355.500000 4866.50000 176.500000
 356.500000 4866.50000 199.399994
 357.500000 4866.50000 203.500000
 338.500000 4867.50000 154.000000
 339.500000 4867.50000 154.000000
 340.500000 4867.50000 154.000000
 341.500000 4867.50000 154.000000
 342.500000 4867.50000 154.000000
 343.500000 4867.50000 154.000000
 344.500000 4867.50000 155.000000
 345.500000 4867.50000 154.800003
 346.500000 4867.50000 163.100006
 347.500000 4867.50000 197.600006
 348.500000 4867.50000 188.699997
 349.500000 4867.50000 166.000000
 350.500000 4867.50000 163.199997
 351.500000 4867.50000 164.699997
 352.500000 4867.50000 162.000000
 353.500000 4867.50000 162.500000
 354.500000 4867.50000 162.000000
 355.500000 4867.50000 162.000000
 356.500000 4867.50000 167.800003
 357.500000 4867.50000 212.000000
 338.500000 4868.50000 154.000000
